left_entity_type,left_entity_id,right_entity_type,right_entity_id,role,evidence_type,evidence_source,source_line,confidence,allocation_weight,included_in_direct_totals,included_in_rollup_totals,manual_override_state,reviewed_by,reviewed_at,review_method,evidence_note,source_digest,warning_state
commit,e031a26f031d038fcc430fb7057600f67102ccbe,commit,e031a26f031d038fcc430fb7057600f67102ccbe,identity,canonical-git-identity,e031a26f031d038fcc430fb7057600f67102ccbe,,1.0,1.0,False,True,automatic,,,,,,
commit,80b722ee0e77887149ebfd307538cac12a5907c3,commit,80b722ee0e77887149ebfd307538cac12a5907c3,identity,canonical-git-identity,80b722ee0e77887149ebfd307538cac12a5907c3,,1.0,1.0,False,True,automatic,,,,,,
commit,fa93fee5de699542d9c5b51f16ffc9acac505d9c,commit,fa93fee5de699542d9c5b51f16ffc9acac505d9c,identity,canonical-git-identity,fa93fee5de699542d9c5b51f16ffc9acac505d9c,,1.0,1.0,False,True,automatic,,,,,,
commit,c499b7aead381ce46c275a2b7e1571e2a49a4cc8,commit,c499b7aead381ce46c275a2b7e1571e2a49a4cc8,identity,canonical-git-identity,c499b7aead381ce46c275a2b7e1571e2a49a4cc8,,1.0,1.0,False,True,automatic,,,,,,
commit,e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,commit,e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,identity,canonical-git-identity,e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,,1.0,1.0,False,True,automatic,,,,,,
commit,c56695645a5579bac37f1f716650754ccc5750a1,commit,c56695645a5579bac37f1f716650754ccc5750a1,identity,canonical-git-identity,c56695645a5579bac37f1f716650754ccc5750a1,,1.0,1.0,False,True,automatic,,,,,,
commit,2d3e003b9689d477939ba8543f037de2cf8068c5,commit,2d3e003b9689d477939ba8543f037de2cf8068c5,identity,canonical-git-identity,2d3e003b9689d477939ba8543f037de2cf8068c5,,1.0,1.0,False,True,automatic,,,,,,
commit,ae13badc1a2a880e7b374fa67010992d398fa737,commit,ae13badc1a2a880e7b374fa67010992d398fa737,identity,canonical-git-identity,ae13badc1a2a880e7b374fa67010992d398fa737,,1.0,1.0,False,True,automatic,,,,,,
commit,d4f65729d1e61f20ac1eaf10d9e5b13db612d6b9,commit,d4f65729d1e61f20ac1eaf10d9e5b13db612d6b9,identity,canonical-git-identity,d4f65729d1e61f20ac1eaf10d9e5b13db612d6b9,,1.0,1.0,False,True,automatic,,,,,,
commit,94246bbd4bebc8a284577f2d68b82ff5db235599,commit,94246bbd4bebc8a284577f2d68b82ff5db235599,identity,canonical-git-identity,94246bbd4bebc8a284577f2d68b82ff5db235599,,1.0,1.0,False,True,automatic,,,,,,
commit,ac28a73112d2a5170ee56f4f05fe6081f4376eb6,commit,ac28a73112d2a5170ee56f4f05fe6081f4376eb6,identity,canonical-git-identity,ac28a73112d2a5170ee56f4f05fe6081f4376eb6,,1.0,1.0,False,True,automatic,,,,,,
commit,32d8411d0d981716488a64b235fa1c25240b90ba,commit,32d8411d0d981716488a64b235fa1c25240b90ba,identity,canonical-git-identity,32d8411d0d981716488a64b235fa1c25240b90ba,,1.0,1.0,False,True,automatic,,,,,,
commit,83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6,commit,83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6,identity,canonical-git-identity,83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6,,1.0,1.0,False,True,automatic,,,,,,
commit,0d268f9dbda719319837ad31711eb87f9f166499,commit,0d268f9dbda719319837ad31711eb87f9f166499,identity,canonical-git-identity,0d268f9dbda719319837ad31711eb87f9f166499,,1.0,1.0,False,True,automatic,,,,,,
commit,4f2a9e8f1b624f200c4d62747f38f83200dbaf88,commit,4f2a9e8f1b624f200c4d62747f38f83200dbaf88,identity,canonical-git-identity,4f2a9e8f1b624f200c4d62747f38f83200dbaf88,,1.0,1.0,False,True,automatic,,,,,,
commit,472c0f02b8c8e431c30a0e342fa8aee4bd3f6b63,commit,472c0f02b8c8e431c30a0e342fa8aee4bd3f6b63,identity,canonical-git-identity,472c0f02b8c8e431c30a0e342fa8aee4bd3f6b63,,1.0,1.0,False,True,automatic,,,,,,
commit,68f7c7b1c66c1a7acd0564610efe03ceff89180b,commit,68f7c7b1c66c1a7acd0564610efe03ceff89180b,identity,canonical-git-identity,68f7c7b1c66c1a7acd0564610efe03ceff89180b,,1.0,1.0,False,True,automatic,,,,,,
commit,b1c99ff0e11dc7d38d78a51a328115010a433f80,commit,b1c99ff0e11dc7d38d78a51a328115010a433f80,identity,canonical-git-identity,b1c99ff0e11dc7d38d78a51a328115010a433f80,,1.0,1.0,False,True,automatic,,,,,,
commit,07da732fae63f277c83cb54cf56698ac80e2c851,commit,07da732fae63f277c83cb54cf56698ac80e2c851,identity,canonical-git-identity,07da732fae63f277c83cb54cf56698ac80e2c851,,1.0,1.0,False,True,automatic,,,,,,
commit,9e1ce62bf296678be8aa16075285d1f9e0cb453c,commit,9e1ce62bf296678be8aa16075285d1f9e0cb453c,identity,canonical-git-identity,9e1ce62bf296678be8aa16075285d1f9e0cb453c,,1.0,1.0,False,True,automatic,,,,,,
commit,1e4ea8e60ed212c41a1f3f43a972ccad5855a07a,commit,1e4ea8e60ed212c41a1f3f43a972ccad5855a07a,identity,canonical-git-identity,1e4ea8e60ed212c41a1f3f43a972ccad5855a07a,,1.0,1.0,False,True,automatic,,,,,,
