transcript_id,segment_id,entity_type,entity_id,role,allocation_weight,source_line_start,source_line_end,allocated_source_lines,allocated_assistant_processing_seconds,allocated_user_response_seconds,allocated_visible_elapsed_seconds,allocated_back_and_forth_count,allocated_turn_count,review_status,reviewed_config_entry_id,confidence,evidence_note,included_in_direct_totals,included_in_rollup_totals
transcript-2026-03-03-1-MiscTagEditorDev,transcript-2026-03-03-1-MiscTagEditorDev:segment-012,commit,f400158d420b3d62590a7863231b3f4fe603006b,work,1.0,228,245,18.923076923076923,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md:segment-001,commit,a76f2110c364943a6a2b000cd575807b8f75a6e6,work,1.0,12,50,41.166666666666664,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md:segment-002,commit,a76f2110c364943a6a2b000cd575807b8f75a6e6,work,0.9415204678,51,221,169.9444444379,,,,0.9415204678,1.8830409356,reviewed,,1.0,semantic match,False,True
transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md:segment-002,commit,6c669809df69c8e7566517df27f84cd4ac85cb37,work,0.0584795322,51,221,10.5555555621,,,,0.0584795322,0.1169590644,reviewed,,1.0,semantic match,False,True
transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md:segment-003,commit,bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,work,1.0,222,245,25.333333333333336,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md:segment-001,plan,2,direct,1.0,12,50,41.166666666666664,,,,1.0,2.0,reviewed,,1.0,semantic match,True,False
transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md:segment-002,plan,2,implementation,1.0,51,221,180.5,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md:segment-003,plan,3,direct,0.2307692308,222,245,5.846153846933334,,,,0.2307692308,0.4615384616,reviewed,,1.0,semantic match,True,False
transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md:segment-003,plan,3,implementation,0.7692307692,222,245,19.487179486400002,,,,0.7692307692,1.5384615384,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-001,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,13,62,51.44329896907216,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-002,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,63,86,24.692783505154637,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-003,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,87,104,18.519587628865978,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-004,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,105,127,23.663917525773194,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-005,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,128,267,144.04123711340205,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-006,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,268,309,43.212371134020614,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-007,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,310,315,6.173195876288659,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-008,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,316,329,14.404123711340205,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
